Gene	sgRNA	NK_vs_Control|beta	NK_vs_Control|z	NK_vs_Control|p-value	NK_vs_Control|fdr	NK_vs_Control|wald-p-value	NK_vs_Control|wald-fdr
A1BG	4	0.028042	0.21533	0.82392	0.99276	0.82951	1
A1CF	4	0.08628	0.51597	0.38463	0.9615	0.60587	1
A2M	4	-0.27265	-2.4321	0.0062271	0.28155	0.015013	1
A2ML1	4	-0.016649	-0.17073	0.78567	0.99276	0.86444	1
A3GALT2	4	0.07931	0.65012	0.4275	0.9678	0.51561	1
A4GALT	4	0.11693	0.78664	0.23624	0.93032	0.43149	1
A4GNT	4	-0.034755	-0.36849	0.63488	0.98493	0.71251	1
AAAS	4	-0.0060141	-0.051352	0.87596	0.99445	0.95904	1
AACS	4	-0.01156	-0.092081	0.82814	0.99276	0.92663	1
AADAC	4	0.085922	0.66126	0.38708	0.96172	0.50844	1
AADACL2	4	-0.054147	-0.37114	0.49744	0.97647	0.71053	1
AADACL3	4	-0.073703	-0.64086	0.37796	0.9615	0.52162	1
AADACL4	4	0.034566	0.41449	0.76576	0.99276	0.67851	1
AADAT	4	0.089855	0.60724	0.36545	0.95983	0.54369	1
AAED1	4	-0.047052	-0.30307	0.54687	0.98057	0.76184	1
AAGAB	4	0.16331	1.2633	0.096686	0.79963	0.20647	1
AAK1	4	0.16313	0.78902	0.097242	0.80165	0.4301	1
AAMDC	4	-0.055087	-0.46096	0.4921	0.97647	0.64483	1
AAMP	4	-0.10046	-0.47218	0.2488	0.93425	0.6368	1
AANAT	4	-0.085792	-1.0237	0.31419	0.94361	0.30599	1
AAR2	4	0.077882	0.76783	0.43612	0.9678	0.44259	1
AARD	4	0.017561	0.12138	0.91521	0.99749	0.90339	1
AARS	4	0.2451	0.90654	0.016958	0.43652	0.36465	1
AARS2	4	-0.13795	-0.65249	0.12843	0.85271	0.51408	1
AARSD1	4	-0.080451	-0.62731	0.3401	0.95281	0.53045	1
AASDH	4	-0.010282	-0.097044	0.8396	0.99276	0.92269	1
AASDHPPT	4	-0.058748	-0.58763	0.46825	0.97324	0.55678	1
AASS	4	0.024637	0.22919	0.85116	0.99321	0.81872	1
AATF	4	0.26098	1.0964	0.011064	0.36116	0.27289	1
