Gene	sgRNA	NK_vs_Control|beta	NK_vs_Control|z	NK_vs_Control|p-value	NK_vs_Control|fdr	NK_vs_Control|wald-p-value	NK_vs_Control|wald-fdr
A1BG	5	0.020736	0.19018	0.8729	0.99455	0.84917	1
A1CF	5	0.10222	0.73954	0.24981	0.91936	0.45958	1
A2M	5	-0.22901	-2.5075	0.0093406	0.30325	0.012159	1
A2ML1	5	-0.016499	-0.20377	0.76732	0.98897	0.83853	1
A3GALT2	5	0.092469	0.86568	0.30029	0.93498	0.38666	1
A4GALT	5	0.13618	1.0535	0.12465	0.81541	0.29209	1
A4GNT	5	-0.07011	-0.84193	0.34849	0.94865	0.39983	1
AAAS	5	-0.0064706	-0.062205	0.85989	0.99354	0.9504	1
AACS	5	0.039245	0.37544	0.69754	0.98282	0.70734	1
AADAC	5	0.11473	1.0087	0.19582	0.87659	0.3131	1
AADACL2	5	-0.047058	-0.35684	0.50356	0.96708	0.72121	1
AADACL3	5	-0.079502	-0.83349	0.29473	0.93036	0.40457	1
AADACL4	5	0.08126	1.0348	0.36528	0.95098	0.30075	1
AADAT	5	0.11306	0.90602	0.20249	0.8822	0.36492	1
AAED1	5	-0.048276	-0.37949	0.49433	0.96385	0.70432	1
AAGAB	5	0.11602	1.0634	0.19159	0.87266	0.2876	1
AAK1	5	0.17914	0.99629	0.044813	0.59538	0.31911	1
AAMDC	5	-0.045654	-0.40396	0.51462	0.96796	0.68624	1
AAMP	5	-0.0584	-0.27649	0.42316	0.95903	0.78217	1
AANAT	5	-0.11377	-1.5554	0.15151	0.84668	0.11984	1
AAR2	5	0.069973	0.80842	0.4409	0.95903	0.41885	1
AARD	5	0.025529	0.20723	0.82681	0.99234	0.83583	1
AARS	5	0.23961	0.79935	0.0088402	0.29444	0.42409	1
AARS2	5	-0.097593	-0.28334	0.21022	0.89132	0.77692	1
AARSD1	5	-0.05373	-0.47086	0.45302	0.95976	0.63774	1
AASDH	5	-0.020022	-0.22459	0.73579	0.98702	0.8223	1
AASDHPPT	5	-0.13482	-1.2909	0.095018	0.76356	0.19674	1
AASS	5	0.022356	0.20674	0.85733	0.99337	0.83621	1
